epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.184,1.03135,1.99238,0.95488,0,0,0,0,0,0,0,0.000254789,0.000254789,0.000254789
2,735.911,0.86661,0.98669,0.91942,0,0,0,0,0,0,0,0.000501002,0.000501002,0.000501002
3,1100.93,0.84854,0.8828,0.91386,0,0,0,0,0,0,0,0.000737065,0.000737065,0.000737065
4,1561,0.80145,0.81199,0.90776,0,0,0,0,0,0,0,0.000723321,0.000723321,0.000723321
5,1920.85,0.77706,0.74778,0.90042,0,0,0,0,0,0,0,0.000708095,0.000708095,0.000708095
6,2280.51,0.7688,0.71045,0.89651,0,0,0,0,0,0,0,0.000692869,0.000692869,0.000692869
7,2648.58,0.7391,0.74134,0.88675,0,0,0,0,0,0,0,0.000677643,0.000677643,0.000677643
8,3010.8,0.75003,0.67734,0.89543,0,0,0,0,0,0,0,0.000662417,0.000662417,0.000662417
9,3373.04,0.73766,0.65391,0.89162,0,0,0,0,0,0,0,0.00064719,0.00064719,0.00064719
10,3736.84,0.72622,0.62953,0.88672,0,0,0,0,0,0,0,0.000631964,0.000631964,0.000631964
11,4100.57,0.71329,0.6147,0.88671,0,0,0,0,0,0,0,0.000616738,0.000616738,0.000616738
12,4464.11,0.71461,0.60265,0.88347,0,0,0,0,0,0,0,0.000601512,0.000601512,0.000601512
13,4826.84,0.70426,0.5955,0.88267,0,0,0,0,0,0,0,0.000586286,0.000586286,0.000586286
14,5188.94,0.70163,0.58338,0.88263,0,0,0,0,0,0,0,0.000571059,0.000571059,0.000571059
15,5550.86,0.68833,0.56885,0.87611,0,0,0,0,0,0,0,0.000555833,0.000555833,0.000555833
16,5917.9,0.6877,0.55898,0.87856,0,0,0,0,0,0,0,0.000540607,0.000540607,0.000540607
17,6284.77,0.68809,0.56557,0.87725,0,0,0,0,0,0,0,0.000525381,0.000525381,0.000525381
18,6650.64,0.67442,0.54647,0.87303,0,0,0,0,0,0,0,0.000510155,0.000510155,0.000510155
19,7031.18,0.67453,0.54256,0.8724,0,0,0,0,0,0,0,0.000494928,0.000494928,0.000494928
20,7399.17,0.65775,0.53058,0.86852,0,0,0,0,0,0,0,0.000479702,0.000479702,0.000479702
21,7765.2,0.66495,0.52798,0.87062,0,0,0,0,0,0,0,0.000464476,0.000464476,0.000464476
22,8159.26,0.65642,0.52136,0.86829,0,0,0,0,0,0,0,0.00044925,0.00044925,0.00044925
23,8522.53,0.65223,0.51234,0.86656,0,0,0,0,0,0,0,0.000434024,0.000434024,0.000434024
24,8895.96,0.65108,0.50515,0.86461,0,0,0,0,0,0,0,0.000418797,0.000418797,0.000418797
25,9263.85,0.64123,0.50826,0.86256,0,0,0,0,0,0,0,0.000403571,0.000403571,0.000403571
26,9628.58,0.64438,0.49722,0.86439,0,0,0,0,0,0,0,0.000388345,0.000388345,0.000388345
27,9996.13,0.64969,0.505,0.86474,0,0,0,0,0,0,0,0.000373119,0.000373119,0.000373119
28,10368.2,0.63933,0.4932,0.8624,0,0,0,0,0,0,0,0.000357893,0.000357893,0.000357893
29,10728.9,0.63778,0.49227,0.86088,0,0,0,0,0,0,0,0.000342666,0.000342666,0.000342666
30,11088.4,0.63026,0.48417,0.85769,0,0,0,0,0,0,0,0.00032744,0.00032744,0.00032744
31,11520,0.62312,0.47462,0.85662,0,0,0,0,0,0,0,0.000312214,0.000312214,0.000312214
32,12032.6,0.6301,0.4764,0.86004,0,0,0,0,0,0,0,0.000296988,0.000296988,0.000296988
33,12476.5,0.62173,0.46953,0.85934,0,0,0,0,0,0,0,0.000281762,0.000281762,0.000281762
34,12839,0.61737,0.46116,0.85462,0,0,0,0,0,0,0,0.000266535,0.000266535,0.000266535
35,13199,0.61931,0.46429,0.85532,0,0,0,0,0,0,0,0.000251309,0.000251309,0.000251309
36,13589,0.61088,0.45508,0.8541,0,0,0,0,0,0,0,0.000236083,0.000236083,0.000236083
37,13952.9,0.61403,0.46155,0.85424,0,0,0,0,0,0,0,0.000220857,0.000220857,0.000220857
38,14317.3,0.61299,0.45317,0.85274,0,0,0,0,0,0,0,0.000205631,0.000205631,0.000205631
39,14691.9,0.60625,0.44816,0.85484,0,0,0,0,0,0,0,0.000190404,0.000190404,0.000190404
40,15071.3,0.6061,0.44428,0.85258,0,0,0,0,0,0,0,0.000175178,0.000175178,0.000175178
41,15418.8,0.57024,0.41526,0.84083,0,0,0,0,0,0,0,0.000159952,0.000159952,0.000159952
42,15805,0.5636,0.40816,0.8368,0,0,0,0,0,0,0,0.000144726,0.000144726,0.000144726
43,16155.8,0.55706,0.4003,0.83509,0,0,0,0,0,0,0,0.0001295,0.0001295,0.0001295
44,16503.3,0.55389,0.39473,0.83554,0,0,0,0,0,0,0,0.000114273,0.000114273,0.000114273
45,16937.6,0.55274,0.39329,0.83378,0,0,0,0,0,0,0,9.90472e-05,9.90472e-05,9.90472e-05
46,17392.6,0.5498,0.39149,0.83352,0,0,0,0,0,0,0,8.3821e-05,8.3821e-05,8.3821e-05
47,17740.3,0.54541,0.38611,0.8323,0,0,0,0,0,0,0,6.85948e-05,6.85948e-05,6.85948e-05
48,18086.3,0.54312,0.38241,0.8317,0,0,0,0,0,0,0,5.33686e-05,5.33686e-05,5.33686e-05
49,18513.4,0.53741,0.37586,0.82878,0,0,0,0,0,0,0,3.81424e-05,3.81424e-05,3.81424e-05
50,18890,0.5374,0.37326,0.83063,0.67293,0.65942,0.68124,0.6013,0.52207,0.47536,0.84304,2.29162e-05,2.29162e-05,2.29162e-05
